date,year,month,month_name,quarter
2000-01-01,2000,1,January,1
2000-02-01,2000,2,February,1
2000-03-01,2000,3,March,1
2000-04-01,2000,4,April,2
2000-05-01,2000,5,May,2
2000-06-01,2000,6,June,2
2000-07-01,2000,7,July,3
2000-08-01,2000,8,August,3
2000-09-01,2000,9,September,3
2000-10-01,2000,10,October,4
2000-11-01,2000,11,November,4
2000-12-01,2000,12,December,4
2001-01-01,2001,1,January,1
2001-02-01,2001,2,February,1
2001-03-01,2001,3,March,1
2001-04-01,2001,4,April,2
2001-05-01,2001,5,May,2
2001-06-01,2001,6,June,2
2001-07-01,2001,7,July,3
2001-08-01,2001,8,August,3
2001-09-01,2001,9,September,3
2001-10-01,2001,10,October,4
2001-11-01,2001,11,November,4
2001-12-01,2001,12,December,4
2002-01-01,2002,1,January,1
2002-02-01,2002,2,February,1
2002-03-01,2002,3,March,1
2002-04-01,2002,4,April,2
2002-05-01,2002,5,May,2
2002-06-01,2002,6,June,2
2002-07-01,2002,7,July,3
2002-08-01,2002,8,August,3
2002-09-01,2002,9,September,3
2002-10-01,2002,10,October,4
2002-11-01,2002,11,November,4
2002-12-01,2002,12,December,4
2003-01-01,2003,1,January,1
2003-02-01,2003,2,February,1
2003-03-01,2003,3,March,1
2003-04-01,2003,4,April,2
2003-05-01,2003,5,May,2
2003-06-01,2003,6,June,2
2003-07-01,2003,7,July,3
2003-08-01,2003,8,August,3
2003-09-01,2003,9,September,3
2003-10-01,2003,10,October,4
2003-11-01,2003,11,November,4
2003-12-01,2003,12,December,4
2004-01-01,2004,1,January,1
2004-02-01,2004,2,February,1
2004-03-01,2004,3,March,1
2004-04-01,2004,4,April,2
2004-05-01,2004,5,May,2
2004-06-01,2004,6,June,2
2004-07-01,2004,7,July,3
2004-08-01,2004,8,August,3
2004-09-01,2004,9,September,3
2004-10-01,2004,10,October,4
2004-11-01,2004,11,November,4
2004-12-01,2004,12,December,4
2005-01-01,2005,1,January,1
2005-02-01,2005,2,February,1
2005-03-01,2005,3,March,1
2005-04-01,2005,4,April,2
2005-05-01,2005,5,May,2
2005-06-01,2005,6,June,2
2005-07-01,2005,7,July,3
2005-08-01,2005,8,August,3
2005-09-01,2005,9,September,3
2005-10-01,2005,10,October,4
2005-11-01,2005,11,November,4
2005-12-01,2005,12,December,4
2006-01-01,2006,1,January,1
2006-02-01,2006,2,February,1
2006-03-01,2006,3,March,1
2006-04-01,2006,4,April,2
2006-05-01,2006,5,May,2
2006-06-01,2006,6,June,2
2006-07-01,2006,7,July,3
2006-08-01,2006,8,August,3
2006-09-01,2006,9,September,3
2006-10-01,2006,10,October,4
2006-11-01,2006,11,November,4
2006-12-01,2006,12,December,4
2007-01-01,2007,1,January,1
2007-02-01,2007,2,February,1
2007-03-01,2007,3,March,1
2007-04-01,2007,4,April,2
2007-05-01,2007,5,May,2
2007-06-01,2007,6,June,2
2007-07-01,2007,7,July,3
2007-08-01,2007,8,August,3
2007-09-01,2007,9,September,3
2007-10-01,2007,10,October,4
2007-11-01,2007,11,November,4
2007-12-01,2007,12,December,4
2008-01-01,2008,1,January,1
2008-02-01,2008,2,February,1
2008-03-01,2008,3,March,1
2008-04-01,2008,4,April,2
2008-05-01,2008,5,May,2
2008-06-01,2008,6,June,2
2008-07-01,2008,7,July,3
2008-08-01,2008,8,August,3
2008-09-01,2008,9,September,3
2008-10-01,2008,10,October,4
2008-11-01,2008,11,November,4
2008-12-01,2008,12,December,4
2009-01-01,2009,1,January,1
2009-02-01,2009,2,February,1
2009-03-01,2009,3,March,1
2009-04-01,2009,4,April,2
2009-05-01,2009,5,May,2
2009-06-01,2009,6,June,2
2009-07-01,2009,7,July,3
2009-08-01,2009,8,August,3
2009-09-01,2009,9,September,3
2009-10-01,2009,10,October,4
2009-11-01,2009,11,November,4
2009-12-01,2009,12,December,4
2010-01-01,2010,1,January,1
2010-02-01,2010,2,February,1
2010-03-01,2010,3,March,1
